,0,start date,Week_Number,Mosquitos,WNV_Present,mean_Tmax,mean_Tmin,mean_Tavg,mean_Depart,mean_DewPoint,mean_WetBulb,mean_Heat,mean_Cool,Sunrise,Sunset,mean_PrecipTotal,mean_StnPressure,mean_SeaLevel,mean_ResultSpeed,mean_ResultDir,mean_AvgSpeed,mean_Tdiff,Funnel_Clouds,Thunder_Storms,Hail,Rain,Drizzle,Snow,Snow_Grains,Small_Hail,Ice_Pellets,Ice,Fog,Mist,Unknown_Precip,Haze,Fume,Varies,Dust,DustStorm,SandWhirls,Sand,SandStorm,Spray,Squall,Drifting,Showers,Freezing,Shallow,Partial,Patches,Blowing,Vicinity
0,0,2010-05-01,17.0,11,0,67.5,54.1666666667,1.07776935926e+11,6.66666666667,47.5,54.0,4.33333333333,0.166666666667,448.0,1849.0,0.226666666667,29.0483333333,29.715,7.71666666667,24.3333333333,9.0,13.3333333333,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2007-05-01,18.0,710,6,66.0714285714,47.2619047619,8.05775625784e+165,1.83333333333,42.2380952381,49.5357142857,9.04761904762,0.630952380952,448.0,1849.0,0.0947023809524,29.2688095238,29.9578571429,8.65476190476,15.7857142857,10.3773809524,18.8095238095,0.0,0.130952380952,0.0,0.380952380952,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0119047619048,0.261904761905,0.0,0.0952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619048
0,0,2007-05-07,19.0,800,5,69.7232142857,49.0535714286,5.86400631224e+221,2.57142857143,44.4285714286,51.7946428571,6.59821428571,1.22321428571,441.0,1856.0,0.162008928571,29.2463392857,29.9371428571,7.66964285714,14.1428571429,9.73839285714,20.6696428571,0.0,0.116071428571,0.0,0.375,0.0535714285714,0.0,0.0,0.0,0.0,0.0,0.0357142857143,0.339285714286,0.0,0.133928571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2007-05-14,20.0,656,9,70.9285714286,49.6071428571,6.58276513889e+221,1.05357142857,44.5535714286,52.3660714286,6.51785714286,2.05357142857,433.0,1903.0,0.0896428571429,29.2908035714,29.9821428571,7.65446428571,14.7053571429,9.49910714286,21.3214285714,0.0,0.142857142857,0.0,0.348214285714,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0267857142857,0.3125,0.0,0.0892857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571428571
0,0,2007-05-21,21.0,945,9,74.7410714286,54.3214285714,5.5926048891e+221,2.51785714286,48.2946428571,55.8303571429,4.1875,3.99107142857,426.0,1910.0,0.156160714286,29.30125,29.9870535714,8.26071428571,12.9017857143,9.65982142857,20.4196428571,0.0,0.142857142857,0.0,0.339285714286,0.00892857142857,0.0,0.0,0.0,0.0,0.0,0.0178571428571,0.205357142857,0.0,0.0535714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2007-05-28,22.0,923,12,77.5446428571,57.7946428571,5.86227480161e+221,3.46428571429,54.3392857143,60.0982142857,1.875,4.82142857143,421.0,1916.0,0.181830357143,29.2260714286,29.9114285714,7.61160714286,18.2232142857,9.28928571429,19.75,0.0,0.214285714286,0.0,0.482142857143,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.357142857143,0.0,0.160714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892857142857
0,0,2007-06-04,23.0,699,6,76.9553571429,57.1964285714,5.86121942734e+221,1.03571428571,52.7232142857,59.1696428571,2.07142857143,4.38392857143,418.0,1922.0,0.149866071429,29.2263392857,29.9072321429,7.425,12.5089285714,9.19285714286,19.7589285714,0.0,0.178571428571,0.0,0.473214285714,0.0267857142857,0.0,0.0,0.0,0.0,0.0,0.0267857142857,0.3125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2007-06-11,24.0,1409,5,80.4464285714,61.1160714286,6.49619417391e+221,2.46428571429,56.1785714286,62.1607142857,0.526785714286,6.55357142857,416.0,1926.0,0.132232142857,29.2426785714,29.9230357143,6.88571428571,15.0892857143,8.42946428571,19.3303571429,0.0,0.116071428571,0.0,0.401785714286,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0178571428571,0.339285714286,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892857142857
0,0,2007-06-18,25.0,1477,6,82.2410714286,64.2053571429,7.12655122656e+221,2.94642857143,59.2053571429,64.7142857143,0.0446428571429,8.51785714286,416.0,1929.0,0.212991071429,29.226875,29.9033035714,6.92321428571,18.5089285714,8.98303571429,18.0357142857,0.0,0.205357142857,0.0,0.464285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0267857142857,0.330357142857,0.0,0.133928571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892857142857
0,0,2007-06-25,26.0,1303,10,84.1517857143,65.3125,6.94448060876e+221,3.32142857143,60.5446428571,65.9553571429,0.0267857142857,10.0535714286,417.0,1931.0,0.0939732142857,29.2554464286,29.9277678571,7.02678571429,16.6696428571,8.57767857143,18.8392857143,0.0,0.178571428571,0.0,0.339285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571428571,0.258928571429,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571428571
