WnvPresent,Id
0.027817677,1
0.019352023,2
0.203916375,3
0.005047797,4
0.006158654,5
0.012955138,6
0.029971863,7
0.029971863,8
0.000180865,9
8.29E-05,10
0.002595961,11
4.87E-05,12
5.08E-05,13
0.000101143,14
0.000227441,15
0.000227441,16
0.010299144,17
0.001952724,18
0.01796269,19
0.000720837,20
0.001426098,21
0.00161775,22
0.003704397,23
0.003704397,24
0.00093803,25
0.001958938,26
0.028039903,27
0.000316621,28
0.000314232,29
0.000393701,30
0.000893246,31
0.000893246,32
0.001164458,33
0.002875721,34
0.002666872,35
0.000252072,36
0.000248192,37
0.000427002,38
0.000969315,39
0.000969315,40
0.001446985,41
0.007537433,42
0.014890122,43
0.000400422,44
0.000398952,45
0.00045074,46
0.001023563,47
0.001023563,48
0.000585947,49
0.016788686,50
0.007250383,51
0.000416926,52
0.000415395,53
0.000469313,54
0.001066022,55
0.001066022,56
0.00038964,57
0.000586861,58
0.004136712,59
0.000111263,60
0.000109572,61
0.000166347,62
0.000375289,63
0.000375289,64
0.019524721,65
0.031327729,66
0.050859065,67
0.003039667,68
0.002990985,69
0.004689022,70
0.010807927,71
0.010807927,72
0.012457872,73
0.035666071,74
0.051002259,75
0.003249087,76
0.003197293,77
0.005012644,78
0.011558157,79
0.011558157,80
0.004043446,81
0.002917363,82
0.014805693,83
0.000249166,84
0.000248252,85
0.000280478,86
0.000634946,87
0.000634946,88
0.000581445,89
0.002100761,90
0.085362413,91
0.000693804,92
0.000686811,93
0.000915396,94
0.002088382,95
0.002088382,96
0.005235853,97
0.004336292,98
0.054383939,99
0.001175088,100
0.001156334,101
0.001813013,102
0.004154564,103
0.004154564,104
0.000819403,105
0.000350101,106
0.00301292,107
9.40E-05,108
0.000130635,109
0.000224101,110
0.000506576,111
0.000506576,112
0.003947436,113
0.000753,114
0.027703469,115
0.00054007,116
0.000534002,117
0.001035989,118
0.002365408,119
0.002365408,120
0.000324964,121
4.21E-05,122
0.000800375,123
2.51E-05,124
3.89E-05,125
5.06E-05,126
0.00011317,127
0.00011317,128
6.11E-05,129
0.00025775,130
0.003497145,131
4.10E-05,132
4.07E-05,133
5.10E-05,134
0.000114181,135
0.000114181,136
0.019032312,137
0.005850515,138
0.071199283,139
0.003736748,140
0.006708049,141
0.006762585,142
0.01561715,143
0.01561715,144
0.005332148,145
0.002881632,146
0.173772903,147
0.005146537,148
0.00828797,149
0.008321153,150
0.019233294,151
0.019233294,152
0.03929977,153
0.037505575,154
0.235463133,155
0.00816187,156
0.008933376,157
0.019563238,158
0.045195058,159
0.045195058,160
0.004025573,161
0.00069556,162
0.012155929,163
0.000410809,164
0.000514842,165
0.000765158,166
0.001743588,167
0.001743588,168
0.001410247,169
0.002351775,170
0.008519933,171
0.000329861,172
0.000376227,173
0.000825124,174
0.001881159,175
0.001881159,176
0.000697656,177
0.000388045,178
0.003590737,179
0.000104418,180
0.00014708,181
0.000253935,182
0.000574486,183
0.000574486,184
0.004999699,185
0.003959713,186
0.06196485,187
0.001463721,188
0.001783522,189
0.003365249,190
0.007741579,191
0.007741579,192
0.019168806,193
0.003288658,194
0.045672791,195
0.001089007,196
0.001541067,197
0.002631495,198
0.006044421,199
0.006044421,200
0.000506641,201
0.001474753,202
0.048367451,203
0.000341225,204
0.00033904,205
0.00041272,206
0.000936685,207
0.000936685,208
0.004401065,209
0.046615576,210
0.065026951,211
0.002193681,212
0.002187131,213
0.002421294,214
0.005558688,215
0.005558688,216
0.001433738,217
0.026244971,218
0.172841906,219
0.002765997,220
0.002755844,221
0.003113538,222
0.007159126,223
0.007159126,224
0.000253501,225
0.001793623,226
0.009097374,227
0.000153601,228
0.000153037,229
0.000172904,230
0.00039018,231
0.00039018,232
0.006910093,233
0.004889048,234
0.071033592,235
0.001414367,236
0.001767289,237
0.003633838,238
0.008363336,239
0.008363336,240
0.000516837,241
0.000205517,242
0.001723894,243
5.47E-05,244
7.60E-05,245
0.000130344,246
0.000293594,247
0.000293594,248
0.002505962,249
0.02008271,250
0.125439123,251
0.003834897,252
0.004572911,253
0.009805004,254
0.022675037,255
0.022675037,256
0.000546152,257
0.002373606,258
0.028131537,259
0.000614135,260
0.000784595,261
0.001571905,262
0.003598752,263
0.003598752,264
0.000355177,265
0.000709729,266
0.007380685,267
0.000169845,268
0.000212087,269
0.00043625,270
0.000990446,271
0.000990446,272
0.022357723,273
0.027783622,274
0.029719977,275
0.002735731,276
0.00271823,277
0.005098614,278
0.011757486,279
0.011757486,280
0.000130978,281
0.000551066,282
0.007363351,283
8.66E-05,284
8.60E-05,285
0.000107737,286
0.00024237,287
0.00024237,288
9.71E-05,289
0.000193358,290
0.003156186,291
4.31E-05,292
4.26E-05,293
5.86E-05,294
0.000131255,295
0.000131255,296
0.016546188,297
0.001143846,298
0.042604386,299
0.000975718,300
0.001086906,301
0.001772575,302
0.004061311,303
0.004061311,304
0.001658731,305
0.0132948,306
0.023692296,307
0.001598602,308
0.001574004,309
0.002707919,310
0.006221078,311
0.006221078,312
0.003284761,313
0.004654136,314
0.037026296,315
0.000927354,316
0.000913253,317
0.001386393,318
0.00317146,319
0.00317146,320
0.179035547,321
0.092720069,322
0.016559834,323
0.003237279,324
0.003481877,325
0.007573595,326
0.017498861,327
0.017498861,328
7.34E-05,329
0.000112047,330
0.019206527,331
0.000369413,332
0.000533818,333
0.000534819,334
0.001215855,335
0.001215855,336
0.037892911,337
0.011641736,338
0.030284368,339
0.001402187,340
0.001565859,341
0.003443535,342
0.007922778,343
0.007922778,344
0.006277161,345
0.003067939,346
0.043575326,347
0.000915948,348
0.001219907,349
0.002308569,350
0.005298302,351
0.005298302,352
0.001195534,353
0.00228601,354
0.01564844,355
0.00042828,356
0.00051135,357
0.001102332,358
0.002517901,359
0.002517901,360
0.019779085,361
0.012810104,362
0.281544497,363
0.005683058,364
0.0077077,365
0.014176051,366
0.032794462,367
0.032794462,368
0.001864843,369
0.000362543,370
0.013708425,371
0.000216192,372
0.000241706,373
0.000473117,374
0.00107472,375
0.00107472,376
0.037151506,377
0.017463058,378
0.052437103,379
0.004201124,380
0.004679982,381
0.007630217,382
0.017630236,383
0.017630236,384
0.001354466,385
0.000210031,386
0.01058939,387
0.000149542,388
0.000161235,389
0.000319313,390
0.000723477,391
0.000723477,392
0.005229607,393
0.016937435,394
0.007012343,395
0.001034464,396
0.001023513,397
0.001866911,398
0.004278875,399
0.004278875,400
0.017423216,401
0.000813238,402
0.01026877,403
0.000386294,404
0.000396703,405
0.000703913,406
0.001603153,407
0.001603153,408
0.000883496,409
0.001338948,410
0.009654545,411
0.000255376,412
0.000251498,413
0.000381825,414
0.000866125,415
0.000866125,416
0.004003934,417
0.012361955,418
0.003752885,419
0.000638307,420
0.000642828,421
0.001271668,422
0.00290739,423
0.00290739,424
0.000429041,425
0.001847724,426
0.016414673,427
0.000208994,428
0.000208227,429
0.000235255,430
0.000531957,431
0.000531957,432
0.003378453,433
0.008659071,434
0.007623488,435
0.000734519,436
0.000723235,437
0.001244313,438
0.002844449,439
0.002844449,440
0.000400558,441
0.009751091,442
0.122028076,443
0.001415727,444
0.0014115,445
0.001562626,446
0.00357737,447
0.00357737,448
0.000446676,449
0.002909858,450
0.011668134,451
0.000226592,452
0.000225915,453
0.000250098,454
0.000565748,455
0.000565748,456
1.00E-07,457
1.00E-07,458
1.00E-07,459
1.00E-07,460
1.00E-07,461
1.00E-07,462
1.00E-07,463
1.00E-07,464
9.53E-05,465
0.000190665,466
0.003178729,467
4.29E-05,468
4.24E-05,469
5.84E-05,470
0.000130797,471
0.000130797,472
0.016342881,473
0.003538699,474
0.075089339,475
0.001672365,476
0.00180288,477
0.003570685,478
0.00821712,479
0.00821712,480
0.004275235,481
0.000915733,482
0.021863886,483
0.000504932,484
0.000503882,485
0.000993581,486
0.002267962,487
0.002267962,488
0.000216765,489
0.001542965,490
0.008834287,491
0.000140249,492
0.000139622,493
0.000161358,494
0.000363961,495
0.000363961,496
0.004816079,497
0.012707899,498
0.17373226,499
0.001981364,500
0.001975447,501
0.002186874,502
0.005017282,503
0.005017282,504
0.000451417,505
0.00266435,506
0.031539362,507
0.000596374,508
0.00058801,509
0.000864153,510
0.001970733,511
0.001970733,512
0.003478301,513
0.031821267,514
0.146570477,515
0.006245539,516
0.006502865,517
0.013737554,518
0.031781136,519
0.031781136,520
0.004433657,521
0.090672398,522
0.061517298,523
0.002943707,524
0.0029329,525
0.003313526,526
0.007621875,527
0.007621875,528
0.001824682,529
0.000439667,530
0.014304078,531
0.000242999,532
0.000271663,533
0.000531798,534
0.001208942,535
0.001208942,536
8.37E-05,537
4.44E-05,538
0.001403588,539
2.45E-05,540
2.74E-05,541
5.37E-05,542
0.000120298,543
0.000120298,544
0.01243807,545
0.025522267,546
0.01448982,547
0.001637956,548
0.001705891,549
0.003606413,550
0.008299839,551
0.008299839,552
0.236437107,553
0.200309509,554
0.030512703,555
0.007370453,556
0.007678855,557
0.016216202,558
0.037501986,559
0.037501986,560
0.001043939,561
0.000588588,562
0.005504498,563
0.000158784,564
0.000223663,565
0.000386159,566
0.000876023,567
0.000876023,568
0.04583433,569
0.424521157,570
0.019152499,571
0.010926244,572
0.011004074,573
0.021732602,574
0.050157631,575
0.050157631,576
0.001260518,577
0.005902347,578
0.061245252,579
0.001402707,580
0.001752027,581
0.003603521,582
0.008293142,583
0.008293142,584
0.00453903,585
0.00260807,586
0.047281967,587
0.000553512,588
0.000547921,589
0.000730218,590
0.001663459,591
0.001663459,592
0.000629429,593
0.001014209,594
0.00444019,595
0.000163383,596
0.00016077,597
0.000252071,598
0.000570241,599
0.000570241,600
0.010405122,601
0.013689068,602
0.061295453,603
0.002211768,604
0.002176414,605
0.0034123,606
0.007850479,607
0.007850479,608
0.004184953,609
0.020684035,610
0.091522349,611
0.00359112,612
0.003861358,613
0.008400183,614
0.019416641,615
0.019416641,616
0.004866331,617
0.000919796,618
0.023512914,619
0.000421146,620
0.000592035,621
0.00100785,622
0.002300747,623
0.002300747,624
0.012737975,625
0.006720786,626
0.037570431,627
0.00203405,628
0.002038857,629
0.003749815,630
0.008631882,631
0.008631882,632
0.001417404,633
